__  ____  __  _____   ___  __ ____  ______ 
 --/ __ \/ / / / _ | / _ \/ //_/ / / / __/ 
 -/ /_/ / /_/ / __ |/ , _/ ,< / /_/ /\ \   
--\___\_\____/_/ |_/_/|_/_/|_|\____/___/   
20:44:33,884 INFO  quarkus:88 [main] shared-logger 1.0.0-SNAPSHOT on JVM (powered by Quarkus 1.10.2.Final) started in 1.302s. Listening on: http://0.0.0.0:8888
20:44:33,891 INFO  quarkus:91 [main] Profile prod activated. 
20:44:33,892 INFO  quarkus:92 [main] Installed features: [cdi, rest-client, rest-client-jackson, resteasy, resteasy-jackson, smallrye-openapi]
20:44:37,781 INFO  LoggerController:66 [executor-thread-1] loggerRestClients size [2]
20:44:37,874 INFO  LoggerController:101 [executor-thread-1] Registering config [LoggerConfig [id=4, ring=1, replicas=1, pathPrefix=/media/disk1/]]
20:44:37,876 INFO  LoggerController:109 [executor-thread-1] Calling logger in url id [0] with id [4]
20:44:37,953 INFO  LoggerController:83 [executor-thread-2] Registering replica logger
20:44:38,281 INFO  ReplicaLoggerClient:66 [executor-thread-2] Path created [/media/disk1/efda416e-cc8a-48ee-b35f-14262119ebd3]
1670730278282, 0, 0
1670730279283, 0, 0
1670730280283, 0, 0
1670730281284, 0, 0
1670730282284, 0, 0
1670730283284, 0, 0
1670730284285, 5565, 5565
1670730285285, 12420, 17985
1670730286285, 12387, 30372
1670730287286, 12179, 42551
1670730288287, 12270, 54821
1670730289287, 12266, 67087
1670730290288, 12292, 79379
1670730291288, 12237, 91616
1670730292288, 12369, 103985
1670730293288, 12208, 116193
1670730294289, 14354, 130547
1670730295291, 12511, 143058
1670730296291, 18287, 161345
1670730297291, 17538, 178883
1670730298292, 16592, 195475
1670730299292, 16334, 211809
1670730300292, 16226, 228035
1670730301292, 16273, 244308
1670730302293, 15734, 260042
1670730303293, 16628, 276670
1670730304294, 16420, 293090
1670730305294, 15605, 308695
1670730306295, 12713, 321408
1670730307295, 17509, 338917
1670730308295, 17910, 356827
1670730309296, 17772, 374599
1670730310296, 16347, 390946
1670730311297, 15924, 406870
1670730312297, 16664, 423534
1670730313297, 15841, 439375
1670730314298, 12369, 451744
1670730315298, 17398, 469142
1670730316299, 16475, 485617
1670730317300, 16761, 502378
1670730318300, 17220, 519598
1670730319300, 17252, 536850
1670730320303, 17235, 554085
1670730321303, 16307, 570392
1670730322303, 16487, 586879
1670730323303, 16111, 602990
1670730324304, 16355, 619345
1670730325304, 16357, 635702
1670730326304, 13022, 648724
1670730327305, 16389, 665113
1670730328305, 16538, 681651
1670730329305, 17888, 699539
1670730330306, 17471, 717010
1670730331306, 15899, 732909
1670730332306, 16582, 749491
1670730333307, 16359, 765850
1670730334307, 15085, 780935
1670730335307, 12796, 793731
1670730336308, 17527, 811258
1670730337308, 17190, 828448
1670730338308, 18687, 847135
1670730339309, 16422, 863557
1670730340309, 16026, 879583
1670730341309, 16387, 895970
1670730342310, 16377, 912347
1670730343310, 15978, 928325
1670730344310, 16315, 944640
1670730345311, 16124, 960764
1670730346311, 16296, 977060
1670730347311, 14402, 991462
1670730348312, 14378, 1005840
1670730349312, 14507, 1020347
1670730350313, 14214, 1034561
1670730351314, 13884, 1048445
1670730352314, 12352, 1060797
1670730353314, 16637, 1077434
1670730354315, 14869, 1092303
1670730355315, 14360, 1106663
1670730356316, 13971, 1120634
1670730357316, 17029, 1137663
1670730358316, 15374, 1153037
1670730359317, 17014, 1170051
1670730360317, 15854, 1185905
1670730361317, 16388, 1202293
1670730362318, 16542, 1218835
1670730363319, 16056, 1234891
1670730364319, 15379, 1250270
1670730365320, 17077, 1267347
1670730366320, 15616, 1282963
1670730367320, 11713, 1294676
1670730368320, 15713, 1310389
1670730369321, 18935, 1329324
1670730370321, 18230, 1347554
1670730371321, 17876, 1365430
1670730372322, 15451, 1380881
1670730373322, 11278, 1392159
1670730374322, 0, 1392159
1670730375323, 0, 1392159
1670730376323, 0, 1392159
1670730377323, 0, 1392159
1670730378323, 0, 1392159
1670730379324, 0, 1392159
1670730380324, 0, 1392159
1670730381324, 18, 1392177
1670730382324, 0, 1392177
1670730383325, 0, 1392177
