17:35:23,794 INFO  [main] Client:126 - thinkingTime [50], writePercentage [100], trackerNumber [1000]
17:35:23,808 INFO  [main] Client:224 - Start performance testing with [16] threads, experimentTimeSeconds [30], commandSize [1024] bytes)
17:35:23,821 INFO  [ClientStatsWriter] Client:203 - Commands sent 0, Response received 0, Total Commands 0, Total Responses 0, Avg latency (ms) 0.00, Lantencies size 0,
17:35:24,824 INFO  [ClientStatsWriter] Client:203 - Commands sent 416, Response received 415, Total Commands 416, Total Responses 415, Avg latency (ms) 0.00, Lantencies size 0,
17:35:25,825 INFO  [ClientStatsWriter] Client:203 - Commands sent 521, Response received 522, Total Commands 937, Total Responses 937, Avg latency (ms) 0.00, Lantencies size 0,
17:35:26,829 INFO  [ClientStatsWriter] Client:203 - Commands sent 505, Response received 505, Total Commands 1442, Total Responses 1442, Avg latency (ms) 2.24, Lantencies size 1,
17:35:27,830 INFO  [ClientStatsWriter] Client:203 - Commands sent 520, Response received 520, Total Commands 1962, Total Responses 1962, Avg latency (ms) 0.00, Lantencies size 0,
17:35:28,836 INFO  [ClientStatsWriter] Client:203 - Commands sent 506, Response received 504, Total Commands 2468, Total Responses 2466, Avg latency (ms) 1.88, Lantencies size 1,
17:35:29,837 INFO  [ClientStatsWriter] Client:203 - Commands sent 497, Response received 496, Total Commands 2965, Total Responses 2962, Avg latency (ms) 0.00, Lantencies size 0,
17:35:30,839 INFO  [ClientStatsWriter] Client:203 - Commands sent 505, Response received 506, Total Commands 3470, Total Responses 3468, Avg latency (ms) 2.36, Lantencies size 1,
17:35:31,840 INFO  [ClientStatsWriter] Client:203 - Commands sent 501, Response received 503, Total Commands 3971, Total Responses 3971, Avg latency (ms) 0.00, Lantencies size 0,
17:35:32,841 INFO  [ClientStatsWriter] Client:203 - Commands sent 499, Response received 499, Total Commands 4470, Total Responses 4470, Avg latency (ms) 1.78, Lantencies size 1,
17:35:33,842 INFO  [ClientStatsWriter] Client:203 - Commands sent 505, Response received 504, Total Commands 4975, Total Responses 4974, Avg latency (ms) 0.00, Lantencies size 0,
17:35:34,843 INFO  [ClientStatsWriter] Client:203 - Commands sent 500, Response received 500, Total Commands 5475, Total Responses 5474, Avg latency (ms) 2.08, Lantencies size 1,
17:35:35,845 INFO  [ClientStatsWriter] Client:203 - Commands sent 518, Response received 518, Total Commands 5993, Total Responses 5992, Avg latency (ms) 0.00, Lantencies size 0,
17:35:36,846 INFO  [ClientStatsWriter] Client:203 - Commands sent 505, Response received 505, Total Commands 6498, Total Responses 6497, Avg latency (ms) 3.14, Lantencies size 1,
17:35:37,851 INFO  [ClientStatsWriter] Client:203 - Commands sent 512, Response received 513, Total Commands 7010, Total Responses 7010, Avg latency (ms) 1.88, Lantencies size 1,
17:35:38,852 INFO  [ClientStatsWriter] Client:203 - Commands sent 493, Response received 490, Total Commands 7503, Total Responses 7500, Avg latency (ms) 0.00, Lantencies size 0,
17:35:39,853 INFO  [ClientStatsWriter] Client:203 - Commands sent 497, Response received 499, Total Commands 8000, Total Responses 7999, Avg latency (ms) 0.00, Lantencies size 0,
17:35:40,854 INFO  [ClientStatsWriter] Client:203 - Commands sent 514, Response received 514, Total Commands 8514, Total Responses 8513, Avg latency (ms) 1.79, Lantencies size 1,
17:35:41,855 INFO  [ClientStatsWriter] Client:203 - Commands sent 509, Response received 510, Total Commands 9023, Total Responses 9023, Avg latency (ms) 1.93, Lantencies size 1,
17:35:42,857 INFO  [ClientStatsWriter] Client:203 - Commands sent 497, Response received 496, Total Commands 9520, Total Responses 9519, Avg latency (ms) 0.00, Lantencies size 0,
17:35:43,858 INFO  [ClientStatsWriter] Client:203 - Commands sent 501, Response received 501, Total Commands 10021, Total Responses 10020, Avg latency (ms) 1.75, Lantencies size 1,
17:35:44,859 INFO  [ClientStatsWriter] Client:203 - Commands sent 502, Response received 503, Total Commands 10523, Total Responses 10523, Avg latency (ms) 0.00, Lantencies size 0,
