10:53:30,479 INFO  [ClientStatsWriter] Client:202 - Commands sent 63, Response received 63, Total Commands 2247, Total Responses 2247, Avg latency (ms) 2.21, Lantencies size 1,
10:53:31,479 INFO  [ClientStatsWriter] Client:202 - Commands sent 63, Response received 63, Total Commands 2310, Total Responses 2310, Avg latency (ms) 2.14, Lantencies size 1,
10:53:32,480 INFO  [ClientStatsWriter] Client:202 - Commands sent 61, Response received 61, Total Commands 2371, Total Responses 2371, Avg latency (ms) 0.00, Lantencies size 0,
10:53:33,481 INFO  [ClientStatsWriter] Client:202 - Commands sent 66, Response received 65, Total Commands 2437, Total Responses 2436, Avg latency (ms) 2.16, Lantencies size 1,
10:53:34,482 INFO  [ClientStatsWriter] Client:202 - Commands sent 58, Response received 59, Total Commands 2495, Total Responses 2495, Avg latency (ms) 0.00, Lantencies size 0,
10:53:35,483 INFO  [ClientStatsWriter] Client:202 - Commands sent 60, Response received 59, Total Commands 2555, Total Responses 2554, Avg latency (ms) 2.24, Lantencies size 1,
10:53:36,484 INFO  [ClientStatsWriter] Client:202 - Commands sent 67, Response received 67, Total Commands 2622, Total Responses 2621, Avg latency (ms) 2.16, Lantencies size 1,
10:53:37,484 INFO  [ClientStatsWriter] Client:202 - Commands sent 65, Response received 66, Total Commands 2687, Total Responses 2687, Avg latency (ms) 0.00, Lantencies size 0,
10:53:38,485 INFO  [ClientStatsWriter] Client:202 - Commands sent 62, Response received 62, Total Commands 2749, Total Responses 2749, Avg latency (ms) 2.24, Lantencies size 1,
10:53:39,488 INFO  [ClientStatsWriter] Client:202 - Commands sent 60, Response received 60, Total Commands 2809, Total Responses 2809, Avg latency (ms) 2.11, Lantencies size 1,
10:53:40,491 INFO  [ClientStatsWriter] Client:202 - Commands sent 64, Response received 64, Total Commands 2873, Total Responses 2873, Avg latency (ms) 0.00, Lantencies size 0,
10:53:41,491 INFO  [ClientStatsWriter] Client:202 - Commands sent 68, Response received 68, Total Commands 2941, Total Responses 2941, Avg latency (ms) 1.99, Lantencies size 1,
10:53:42,492 INFO  [ClientStatsWriter] Client:202 - Commands sent 62, Response received 62, Total Commands 3003, Total Responses 3003, Avg latency (ms) 2.14, Lantencies size 1,
10:53:43,493 INFO  [ClientStatsWriter] Client:202 - Commands sent 58, Response received 58, Total Commands 3061, Total Responses 3061, Avg latency (ms) 0.00, Lantencies size 0,
10:53:44,494 INFO  [ClientStatsWriter] Client:202 - Commands sent 61, Response received 61, Total Commands 3122, Total Responses 3122, Avg latency (ms) 2.21, Lantencies size 1,
10:53:45,494 INFO  [ClientStatsWriter] Client:202 - Commands sent 68, Response received 68, Total Commands 3190, Total Responses 3190, Avg latency (ms) 0.00, Lantencies size 0,
10:53:46,495 INFO  [ClientStatsWriter] Client:202 - Commands sent 66, Response received 66, Total Commands 3256, Total Responses 3256, Avg latency (ms) 2.14, Lantencies size 1,
10:53:47,495 INFO  [ClientStatsWriter] Client:202 - Commands sent 55, Response received 55, Total Commands 3311, Total Responses 3311, Avg latency (ms) 2.17, Lantencies size 1,
10:53:48,496 INFO  [ClientStatsWriter] Client:202 - Commands sent 62, Response received 60, Total Commands 3373, Total Responses 3371, Avg latency (ms) 0.00, Lantencies size 0,
10:53:49,497 INFO  [ClientStatsWriter] Client:202 - Commands sent 65, Response received 66, Total Commands 3438, Total Responses 3437, Avg latency (ms) 2.13, Lantencies size 1,
10:53:50,497 INFO  [ClientStatsWriter] Client:202 - Commands sent 60, Response received 61, Total Commands 3498, Total Responses 3498, Avg latency (ms) 0.00, Lantencies size 0,
