name, sem_throughputReplica (avg)(kCommands/s), sem_throughputReplica (med)(kCommands/s), sem_throughputReplica (p95)(kCommands/s), sem_latency (avg)(ms), sem_latency (med)(ms), sem_latency (p95)(ms), cou_throughputReplica (avg)(kCommands/s), cou_throughputReplica (med)(kCommands/s), cou_throughputReplica (p95)(kCommands/s), cou_latency (avg)(ms), cou_latency (med)(ms), cou_latency (med)(ms), dec_throughputReplica (avg)(kCommands/s), dec_throughputReplica (med)(kCommands/s), dec_throughputReplica (p95)(kCommands/s), dec_latency (avg)(ms), dec_latency (med)(ms), dec_latency (p95)(ms), 
io_256_90_001,33.31,33.99,35.49,1.68,1.04,2.00,31.31,32.13,34.28,1.99,1.44,4.00,31.49,31.78,33.04,2.13,1.59,3.25,
io_512_90_001,34.87,34.86,38.96,8.49,7.94,12.25,33.75,34.86,36.56,8.97,8.26,14.67,44.53,44.68,56.00,4.94,3.20,10.41,
io_768_90_001,40.62,41.39,45.34,11.92,10.74,18.36,36.10,37.95,45.50,13.04,10.16,25.76,49.22,49.38,60.13,29.49,28.80,37.54,
io_1024_90_001,34.51,34.88,36.83,22.74,20.90,32.02,37.54,38.54,45.66,0.00,0.00,0.00,43.64,45.24,56.55,11.18,8.20,21.62,
io_1280_90_001,24.50,15.15,55.76,11.49,7.83,22.31,33.91,35.64,41.08,23.15,21.57,43.73,46.73,48.37,61.82,13.00,9.31,28.82,
io_1536_90_001,46.06,47.01,59.42,17.37,13.64,30.78,34.85,34.23,43.50,0.00,0.00,0.00,44.16,46.09,55.72,25.47,23.01,42.50,
io_1792_90_001,49.75,52.26,61.65,22.33,10.21,30.61,35.47,36.22,41.53,46.08,42.00,63.80,0.00,0.00,0.00,0.00,0.0,0.0,
io_2048_90_001,35.48,41.12,62.93,21.64,16.77,50.79,33.07,33.58,41.51,32.96,25.84,59.66,45.28,48.79,65.40,0.00,0.00,0.00,

cpu_8_90_001,1.03,1.04,1.05,1.58,1.59,2.31,1.01,1.02,1.03,1.78,1.78,2.04,0.99,1.00,1.02,1.85,1.84,2.25,
cpu_16_90_001,2.08,2.09,2.12,1.48,1.45,1.82,2.02,2.05,2.09,1.57,1.55,1.83,1.98,1.99,2.02,1.89,1.84,2.57,
cpu_32_90_001,4.01,4.03,4.10,2.03,1.76,2.67,3.78,4.09,4.19,1.61,1.51,2.43,4.11,4.14,4.23,1.75,1.51,2.07,
cpu_64_90_001,8.13,8.21,8.29,1.87,1.66,2.51,7.95,7.97,8.14,2.06,1.81,3.01,7.92,7.96,8.12,1.86,1.82,2.69,
cpu_128_90_001,16.86,16.97,17.25,1.63,1.26,2.05,15.60,15.88,16.26,2.30,1.76,3.24,11.68,11.27,16.04,2.31,1.77,3.68,
cpu_256_90_001,32.21,33.04,34.85,1.76,1.21,3.10,31.26,32.24,34.10,1.78,1.48,2.47,29.80,30.55,34.09,1.85,1.38,3.11,
cpu_512_90_001,48.98,55.86,68.62,2.64,1.91,3.65,47.40,49.66,60.81,15.71,15.48,21.58,39.79,36.20,67.25,1.93,1.23,3.74,
cpu_768_90_001,45.45,45.76,49.97,7.47,7.60,12.83,41.08,44.09,51.14,8.16,7.78,16.08,45.07,50.30,53.05,0.00,0.00,0.00,
cpu_1024_90_001,60.89,59.13,95.18,2.97,1.40,6.33,48.32,49.62,59.36,10.73,8.28,22.44,57.92,60.51,74.48,3.97,2.74,8.44,
cpu_1280_90_001,44.42,46.95,55.00,13.01,15.60,20.79,20.70,20.40,23.53,55.99,54.56,74.43,51.48,52.18,65.72,11.65,9.85,24.16,
cpu_1536_90_001,48.54,49.03,52.73,9.20,3.40,23.17,47.36,47.94,61.03,20.36,22.19,38.67,41.51,41.32,48.56,14.68,16.01,29.84,
cpu_1792_90_001,19.34,18.49,24.84,71.53,68.11,115.69,45.70,44.74,67.45,0.00,0.00,0.00,60.51,62.35,96.45,28.07,29.80,49.45,
cpu_2048_90_001,53.76,53.12,92.21,0.00,0.00,0.00,34.94,35.41,40.82,43.50,42.96,64.70,61.59,58.20,91.21,5.21,3.48,11.42,

name, sem_throughputReplica (avg)(kCommands/s), sem_throughputReplica (med)(kCommands/s), sem_throughputReplica (p95)(kCommands/s), sem_latency (avg)(ms), sem_latency (med)(ms), sem_latency (p95)(ms), cou_throughputReplica (avg)(kCommands/s), cou_throughputReplica (med)(kCommands/s), cou_throughputReplica (p95)(kCommands/s), cou_latency (avg)(ms), cou_latency (med)(ms), cou_latency (med)(ms), dec_throughputReplica (avg)(kCommands/s), dec_throughputReplica (med)(kCommands/s), dec_throughputReplica (p95)(kCommands/s), dec_latency (avg)(ms), dec_latency (med)(ms), dec_latency (p95)(ms), 

Ring counter: 4 rings
io_8_90_001,1.04,1.05,1.06,1.51,1.50,1.88,1.05,1.06,1.07,1.45,1.42,1.77,0.99,1.00,1.02,1.89,1.81,2.39,
io_16_90_001,2.03,2.04,2.07,1.70,1.64,2.39,2.08,2.10,2.12,1.54,1.41,2.20,1.92,1.95,1.98,2.63,1.93,5.76,
io_32_90_001,4.07,4.10,4.17,1.67,1.53,2.62,3.98,4.02,4.08,1.84,1.73,2.61,4.00,4.07,4.16,1.71,1.62,2.39,
io_64_90_001,8.01,8.09,8.22,1.69,1.63,2.45,7.89,7.96,8.16,1.95,1.83,2.94,7.85,7.93,8.26,2.86,1.70,2.83,
io_128_90_001,16.00,16.34,16.63,1.68,1.55,2.46,11.57,13.89,16.24,0.00,0.0,0.0,15.62,15.75,16.49,1.85,1.61,2.55,
