__  ____  __  _____   ___  __ ____  ______ 
 --/ __ \/ / / / _ | / _ \/ //_/ / / / __/ 
 -/ /_/ / /_/ / __ |/ , _/ ,< / /_/ /\ \   
--\___\_\____/_/ |_/_/|_/_/|_|\____/___/   
19:59:03,812 INFO  quarkus:88 [main] shared-logger 1.0.0-SNAPSHOT on JVM (powered by Quarkus 1.10.2.Final) started in 1.229s. Listening on: http://0.0.0.0:8888
19:59:03,819 INFO  quarkus:91 [main] Profile prod activated. 
19:59:03,819 INFO  quarkus:92 [main] Installed features: [cdi, rest-client, rest-client-jackson, resteasy, resteasy-jackson, smallrye-openapi]
19:59:07,860 INFO  LoggerController:69 [executor-thread-1] loggerRestClients size [2]
19:59:07,862 INFO  LoggerController:140 [executor-thread-1] Executing performance test with thread counter [1024] and ring counter [1]
19:59:08,168 INFO  ReplicaLoggerClient:78 [executor-thread-1] Path created [/media/disk1/3fde6ea0-4763-43a2-985e-430bbea0fbfc]
1672714748169, 0, 0
1672714749170, 17855, 17855
1672714750170, 24423, 42278
1672714751171, 22020, 64298
1672714752171, 22259, 86557
1672714753172, 25330, 111887
1672714754172, 24056, 135943
1672714755173, 24836, 160779
1672714756174, 23604, 184383
1672714757174, 17477, 201860
1672714758174, 23869, 225729
1672714759175, 17582, 243311
1672714760175, 27165, 270476
1672714761176, 25008, 295484
1672714762176, 15352, 310836
1672714763176, 24982, 335818
1672714764177, 23313, 359131
1672714765178, 21179, 380310
1672714766179, 22699, 403009
1672714767179, 18962, 421971
1672714768180, 20931, 442902
1672714769180, 24469, 467371
1672714770180, 15454, 482825
1672714771181, 20465, 503290
1672714772181, 24592, 527882
1672714773181, 22229, 550111
1672714774182, 24298, 574409
1672714775183, 27873, 602282
1672714776183, 23548, 625830
1672714777183, 21222, 647052
1672714778184, 15645, 662697
