21:30:26,817 INFO  [main] RawABListener:48 - Initing a RawABListener...
21:30:26,825 INFO  [main] Node:101 - PID: 85227
21:30:27,061 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
21:30:27,065 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
21:30:27,066 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
21:30:27,086 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
21:30:27,087 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
21:30:27,088 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
21:30:27,094 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
21:30:27,095 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
21:30:27,100 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [14] (succsessor: 14 at /10.10.1.5:2871)
21:30:27,108 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 14] (succsessor: 1 at /10.10.1.2:2115)
21:30:27,121 INFO  [main] Replica:169 - Token [0], ringId [null], nodeId [14], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [true], useDiskDb [true] with simple constructor
1670733027122, 0, 0
Reading from stdin
21:30:27,152 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 13, 14] (succsessor: 1 at /10.10.1.2:2115)
21:30:27,159 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 13, 14, 15] (succsessor: 15 at /10.10.1.6:2776)
21:30:27,220 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14, 15] (succsessor: 15 at /10.10.1.6:2776)
1670733205413, 0, 517028
1670733206414, 0, 517028
1670733207414, 0, 517028
1670733208414, 0, 517028
1670733209414, 0, 517028
1670733210414, 0, 517028
1670733211415, 0, 517028
1670733212415, 0, 517028
1670733213415, 0, 517028
1670733214415, 0, 517028
1670733215415, 0, 517028
1670733216416, 0, 517028
1670733217416, 0, 517028
1670733218416, 0, 517028
1670733219416, 0, 517028
1670733220417, 0, 517028
1670733221417, 0, 517028
1670733222417, 0, 517028
1670733223417, 0, 517028
1670733224417, 0, 517028
1670733225418, 0, 517028
1670733226418, 0, 517028
1670733227418, 0, 517028
1670733228418, 0, 517028
1670733229418, 0, 517028
1670733230419, 0, 517028
1670733231419, 0, 517028
1670733232419, 0, 517028
1670733233419, 0, 517028
1670733234419, 0, 517028
1670733235420, 0, 517028
1670733236420, 0, 517028
1670733237420, 0, 517028
1670733238420, 0, 517028
1670733239420, 0, 517028
1670733240421, 0, 517028
1670733241421, 0, 517028
1670733242421, 0, 517028
1670733243421, 0, 517028
1670733244421, 0, 517028
1670733245422, 0, 517028
1670733246422, 0, 517028
1670733247422, 0, 517028
1670733248422, 0, 517028
1670733249422, 0, 517028
1670733250423, 0, 517028
1670733251423, 0, 517028
1670733252423, 0, 517028
1670733253423, 0, 517028
1670733254423, 0, 517028
1670733255424, 0, 517028
1670733256424, 0, 517028
1670733257424, 0, 517028
1670733258424, 0, 517028
1670733259424, 0, 517028
1670733260425, 0, 517028
1670733261425, 0, 517028
1670733262425, 0, 517028
1670733263425, 0, 517028
1670733264426, 0, 517028
1670733265426, 0, 517028
1670733266426, 0, 517028
1670733267426, 0, 517028
1670733268426, 0, 517028
1670733269427, 0, 517028
1670733270427, 0, 517028
1670733271427, 0, 517028
1670733272427, 0, 517028
1670733273427, 0, 517028
1670733274428, 0, 517028
1670733275428, 0, 517028
1670733276428, 0, 517028
1670733277428, 0, 517028
1670733278428, 0, 517028
1670733279429, 0, 517028
1670733280429, 0, 517028
1670733281429, 0, 517028
1670733282429, 0, 517028
1670733283429, 0, 517028
1670733284430, 0, 517028
1670733285430, 0, 517028
1670733286430, 0, 517028
1670733287430, 0, 517028
1670733288431, 0, 517028
1670733289431, 0, 517028
1670733290431, 0, 517028
1670733291431, 0, 517028
1670733292432, 0, 517028
1670733293432, 0, 517028
1670733294432, 0, 517028
1670733295432, 0, 517028
1670733296432, 0, 517028
1670733297433, 0, 517028
1670733298433, 0, 517028
1670733299433, 0, 517028
1670733300433, 0, 517028
1670733301433, 0, 517028
1670733302433, 0, 517028
1670733303434, 0, 517028
1670733304434, 0, 517028
1670733305434, 0, 517028
1670733306434, 0, 517028
1670733307434, 0, 517028
1670733308435, 0, 517028
1670733309435, 0, 517028
1670733310435, 0, 517028
1670733311435, 0, 517028
1670733312435, 0, 517028
1670733313435, 0, 517028
1670733314436, 0, 517028
1670733315436, 0, 517028
1670733316436, 0, 517028
1670733317436, 0, 517028
1670733318436, 0, 517028
1670733319436, 0, 517028
1670733320437, 0, 517028
1670733321437, 0, 517028
1670733322437, 0, 517028
1670733323437, 0, 517028
1670733324437, 0, 517028
1670733325438, 0, 517028
1670733326438, 0, 517028
1670733327438, 0, 517028
1670733328438, 0, 517028
1670733329438, 0, 517028
1670733330438, 0, 517028
1670733331439, 0, 517028
1670733332439, 0, 517028
1670733333439, 0, 517028
1670733334439, 0, 517028
1670733335439, 0, 517028
1670733336440, 0, 517028
1670733337440, 0, 517028
1670733338440, 0, 517028
1670733339440, 0, 517028
1670733340440, 0, 517028
1670733341440, 0, 517028
1670733342441, 0, 517028
1670733343441, 0, 517028
1670733344441, 0, 517028
1670733345441, 0, 517028
1670733346441, 0, 517028
1670733347442, 0, 517028
1670733348442, 0, 517028
1670733349442, 0, 517028
1670733350442, 0, 517028
1670733351442, 0, 517028
1670733352443, 0, 517028
1670733353443, 0, 517028
1670733354443, 0, 517028
1670733355443, 0, 517028
1670733356443, 0, 517028
1670733357443, 0, 517028
1670733358444, 0, 517028
1670733359444, 0, 517028
1670733360444, 0, 517028
1670733361444, 0, 517028
1670733362444, 0, 517028
1670733363445, 0, 517028
1670733364445, 0, 517028
1670733365445, 0, 517028
1670733366445, 0, 517028
1670733367445, 0, 517028
1670733368445, 0, 517028
1670733369446, 0, 517028
1670733370446, 0, 517028
1670733371446, 0, 517028
1670733372446, 0, 517028
1670733373446, 0, 517028
1670733374447, 0, 517028
1670733375447, 0, 517028
1670733376447, 0, 517028
1670733377447, 0, 517028
1670733378447, 0, 517028
1670733379448, 0, 517028
1670733380448, 0, 517028
1670733381448, 0, 517028
1670733382448, 0, 517028
1670733383448, 0, 517028
1670733384448, 0, 517028
1670733385449, 0, 517028
1670733386449, 0, 517028
1670733387449, 0, 517028
1670733388449, 0, 517028
1670733389449, 0, 517028
1670733390450, 0, 517028
1670733391450, 0, 517028
1670733392450, 0, 517028
1670733393450, 0, 517028
1670733394450, 0, 517028
1670733395450, 0, 517028
1670733396451, 0, 517028
1670733397451, 0, 517028
1670733398451, 0, 517028
1670733399451, 0, 517028
1670733400451, 0, 517028
1670733401452, 0, 517028
1670733402452, 0, 517028
1670733403452, 0, 517028
1670733404452, 0, 517028
1670733405452, 0, 517028
1670733406452, 0, 517028
1670733407453, 0, 517028
1670733408453, 0, 517028
1670733409453, 0, 517028
1670733410453, 0, 517028
1670733411453, 0, 517028
1670733412454, 0, 517028
1670733413454, 0, 517028
1670733414454, 0, 517028
1670733415454, 0, 517028
1670733416454, 0, 517028
1670733417455, 0, 517028
1670733418455, 0, 517028
1670733419455, 0, 517028
1670733420455, 0, 517028
1670733421455, 0, 517028
1670733422455, 0, 517028
1670733423456, 0, 517028
1670733424456, 0, 517028
1670733425456, 0, 517028
1670733426456, 0, 517028
1670733427456, 0, 517028
1670733428457, 0, 517028
1670733429457, 0, 517028
1670733430457, 0, 517028
1670733431457, 0, 517028
1670733432457, 0, 517028
1670733433457, 0, 517028
1670733434458, 0, 517028
1670733435458, 0, 517028
1670733436458, 0, 517028
1670733437458, 0, 517028
1670733438458, 0, 517028
1670733439459, 0, 517028
1670733440459, 0, 517028
1670733441459, 0, 517028
1670733442459, 0, 517028
1670733443459, 0, 517028
1670733444460, 0, 517028
1670733445460, 0, 517028
1670733446460, 0, 517028
1670733447460, 0, 517028
1670733448460, 0, 517028
1670733449460, 0, 517028
1670733450461, 0, 517028
1670733451461, 0, 517028
1670733452461, 0, 517028
1670733453461, 0, 517028
1670733454461, 0, 517028
1670733455462, 0, 517028
21:37:35,672 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
21:37:35,769 ERROR [main-EventThread] RingManager:232 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
21:37:35,770 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/learners
