11:52:03,559 INFO  [main] RawABListener:48 - Initing a RawABListener...
11:52:03,567 INFO  [main] Node:101 - PID: 4633
11:52:03,737 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
11:52:03,741 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
11:52:03,741 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
11:52:03,757 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
11:52:03,758 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
11:52:03,758 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
11:52:03,768 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: enabled
11:52:03,770 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
11:52:03,778 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 13] (succsessor: 2 at /10.10.1.3:2741)
11:52:03,791 INFO  [main] Replica:162 - Token [0], ringId [null], nodeId [13], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [true], useDiskDb [true] with simple constructor
1669229523792, 0, 0
11:52:03,854 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13] (succsessor: 1 at /10.10.1.2:2011)
11:52:03,895 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 15] (succsessor: 15 at /10.10.1.6:2862)
11:52:03,971 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14, 15] (succsessor: 14 at /10.10.1.5:2170)
1669229524793, 0, 0
1669229525793, 0, 0
1669229526793, 0, 0
1669229527794, 0, 0
1669229528794, 0, 0
1669229529795, 0, 0
1669229530795, 0, 0
1669229531795, 0, 0
1669229532796, 0, 0
1669229533796, 0, 0
1669229534796, 0, 0
1669229535797, 0, 0
1669229536797, 0, 0
1669229537797, 0, 0
1669229538798, 0, 0
1669229539798, 0, 0
1669229540798, 0, 0
1669229541799, 0, 0
1669229542799, 82, 82
1669229543799, 121, 203
1669229544800, 132, 335
1669229545800, 123, 458
1669229546800, 121, 579
1669229547801, 121, 700
1669229548801, 121, 821
1669229549802, 112, 933
1669229550802, 118, 1051
1669229551802, 119, 1170
1669229552802, 126, 1296
1669229553803, 137, 1433
1669229554803, 121, 1554
1669229555803, 128, 1682
1669229556803, 124, 1806
1669229557804, 129, 1935
1669229558804, 65, 2000
1669229559804, 0, 2000
1669229560805, 0, 2000
1669229561805, 0, 2000
1669229562805, 0, 2000
11:52:43,720 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [13, 14, 15] (succsessor: 14 at /10.10.1.5:2170)
1669229563806, 0, 2000
11:52:43,835 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/learners
11:52:43,835 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
11:52:43,835 ERROR [main-EventThread] RingManager:232 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
