06:18:05,565 INFO  [main] Client:125 - thinkingTime [50], writePercentage [100], trackerNumber [2000]
06:18:05,584 INFO  [main] Client:223 - Start performance testing with [256] threads, experimentTimeSeconds [30], commandSize [1024] bytes)
06:18:05,596 INFO  [ClientStatsWriter] Client:202 - Commands sent 0, Response received 0, Total Commands 0, Total Responses 0, Avg latency (ms) 0.00, Lantencies size 0,
06:18:06,602 INFO  [ClientStatsWriter] Client:202 - Commands sent 6289, Response received 6249, Total Commands 6289, Total Responses 6249, Avg latency (ms) 3.86, Lantencies size 3,
06:18:07,603 INFO  [ClientStatsWriter] Client:202 - Commands sent 7973, Response received 7988, Total Commands 14262, Total Responses 14237, Avg latency (ms) 3.06, Lantencies size 4,
06:18:08,605 INFO  [ClientStatsWriter] Client:202 - Commands sent 7916, Response received 7911, Total Commands 22178, Total Responses 22148, Avg latency (ms) 2.36, Lantencies size 4,
06:18:09,606 INFO  [ClientStatsWriter] Client:202 - Commands sent 7802, Response received 7816, Total Commands 29980, Total Responses 29964, Avg latency (ms) 2.64, Lantencies size 3,
06:18:10,612 INFO  [ClientStatsWriter] Client:202 - Commands sent 7791, Response received 7784, Total Commands 37771, Total Responses 37748, Avg latency (ms) 2.70, Lantencies size 3,
06:18:11,614 INFO  [ClientStatsWriter] Client:202 - Commands sent 7974, Response received 7973, Total Commands 45745, Total Responses 45721, Avg latency (ms) 2.55, Lantencies size 4,
06:18:12,615 INFO  [ClientStatsWriter] Client:202 - Commands sent 7869, Response received 7879, Total Commands 53614, Total Responses 53600, Avg latency (ms) 2.62, Lantencies size 4,
06:18:13,618 INFO  [ClientStatsWriter] Client:202 - Commands sent 7979, Response received 7973, Total Commands 61593, Total Responses 61573, Avg latency (ms) 2.48, Lantencies size 4,
06:18:14,620 INFO  [ClientStatsWriter] Client:202 - Commands sent 7675, Response received 7677, Total Commands 69268, Total Responses 69250, Avg latency (ms) 2.25, Lantencies size 4,
06:18:15,621 INFO  [ClientStatsWriter] Client:202 - Commands sent 7916, Response received 7913, Total Commands 77184, Total Responses 77163, Avg latency (ms) 3.66, Lantencies size 4,
06:18:16,622 INFO  [ClientStatsWriter] Client:202 - Commands sent 7876, Response received 7873, Total Commands 85060, Total Responses 85036, Avg latency (ms) 2.85, Lantencies size 4,
06:18:17,624 INFO  [ClientStatsWriter] Client:202 - Commands sent 7699, Response received 7713, Total Commands 92759, Total Responses 92749, Avg latency (ms) 3.28, Lantencies size 4,
