__  ____  __  _____   ___  __ ____  ______ 
 --/ __ \/ / / / _ | / _ \/ //_/ / / / __/ 
 -/ /_/ / /_/ / __ |/ , _/ ,< / /_/ /\ \   
--\___\_\____/_/ |_/_/|_/_/|_|\____/___/   
07:42:17,076 INFO  quarkus:88 [main] shared-logger 1.0.0-SNAPSHOT on JVM (powered by Quarkus 1.10.2.Final) started in 1.170s. Listening on: http://0.0.0.0:8888
07:42:17,085 INFO  quarkus:91 [main] Profile prod activated. 
07:42:17,086 INFO  quarkus:92 [main] Installed features: [cdi, rest-client, rest-client-jackson, resteasy, resteasy-jackson, smallrye-openapi]
07:42:21,170 INFO  LoggerController:66 [executor-thread-1] loggerRestClients size [2]
07:42:21,228 INFO  LoggerController:101 [executor-thread-1] Registering config [LoggerConfig [id=4, ring=1, replicas=1, pathPrefix=/tmp/]]
07:42:21,228 INFO  LoggerController:109 [executor-thread-1] Calling logger in url id [0] with id [4]
07:42:21,290 INFO  LoggerController:83 [executor-thread-2] Registering replica logger
07:42:21,646 INFO  ReplicaLoggerClient:63 [executor-thread-2] Path created [/tmp/09788fc0-92c5-4f09-bf75-da43b7239182]
1670597136718, 0, 961306
1670597137718, 0, 961306
1670597138718, 0, 961306
1670597139718, 0, 961306
1670597140719, 0, 961306
1670597141719, 0, 961306
1670597142719, 0, 961306
1670597143719, 0, 961306
1670597144720, 0, 961306
1670597145720, 0, 961306
1670597146720, 0, 961306
1670597147720, 0, 961306
1670597148721, 0, 961306
1670597149721, 0, 961306
1670597150721, 0, 961306
1670597151721, 0, 961306
1670597152722, 0, 961306
1670597153722, 0, 961306
1670597154722, 0, 961306
1670597155722, 0, 961306
1670597156722, 0, 961306
1670597157723, 0, 961306
1670597158723, 0, 961306
1670597159723, 0, 961306
1670597160723, 0, 961306
1670597161724, 0, 961306
1670597162724, 0, 961306
1670597163724, 0, 961306
1670597164724, 0, 961306
1670597165725, 0, 961306
1670597166725, 0, 961306
1670597167725, 0, 961306
1670597168725, 0, 961306
1670597169725, 0, 961306
1670597170726, 0, 961306
1670597171726, 0, 961306
1670597172726, 0, 961306
1670597173726, 0, 961306
1670597174727, 0, 961306
1670597175727, 0, 961306
1670597176727, 0, 961306
1670597177727, 0, 961306
1670597178728, 0, 961306
1670597179728, 0, 961306
1670597180728, 0, 961306
1670597181728, 0, 961306
1670597182729, 0, 961306
1670597183729, 0, 961306
1670597184729, 0, 961306
1670597185729, 0, 961306
1670597186729, 0, 961306
1670597187730, 0, 961306
1670597188730, 0, 961306
1670597189730, 0, 961306
1670597190731, 0, 961306
1670597191731, 0, 961306
1670597192731, 0, 961306
1670597193731, 0, 961306
1670597194732, 0, 961306
1670597195732, 0, 961306
1670597196732, 0, 961306
1670597197732, 0, 961306
1670597198733, 0, 961306
1670597199733, 0, 961306
1670597200733, 0, 961306
1670597201733, 0, 961306
1670597202733, 0, 961306
1670597203734, 0, 961306
1670597204734, 0, 961306
1670597205734, 0, 961306
1670597206734, 0, 961306
1670597207734, 0, 961306
1670597208735, 0, 961306
1670597209735, 0, 961306
1670597210735, 0, 961306
1670597211735, 0, 961306
1670597212735, 0, 961306
1670597213736, 0, 961306
1670597214736, 0, 961306
1670597215736, 0, 961306
1670597216736, 0, 961306
1670597217737, 0, 961306
1670597218737, 0, 961306
1670597219737, 0, 961306
1670597220737, 0, 961306
1670597221737, 0, 961306
1670597222738, 0, 961306
1670597223738, 0, 961306
1670597224738, 0, 961306
1670597225738, 0, 961306
1670597226738, 0, 961306
1670597227739, 0, 961306
1670597228739, 0, 961306
1670597229739, 0, 961306
1670597230739, 0, 961306
1670597231739, 0, 961306
1670597232740, 0, 961306
1670597233740, 0, 961306
1670597234740, 0, 961306
1670597235740, 0, 961306
1670597236741, 0, 961306
1670597237741, 0, 961306
1670597238741, 0, 961306
1670597239741, 0, 961306
1670597240741, 0, 961306
1670597241742, 0, 961306
1670597242742, 0, 961306
1670597243742, 0, 961306
1670597244742, 0, 961306
1670597245742, 0, 961306
1670597246743, 0, 961306
1670597247743, 0, 961306
1670597248743, 0, 961306
1670597249743, 0, 961306
1670597250743, 0, 961306
1670597251744, 0, 961306
1670597252744, 0, 961306
1670597253744, 0, 961306
1670597254744, 0, 961306
1670597255744, 0, 961306
1670597256745, 0, 961306
1670597257745, 0, 961306
1670597258745, 0, 961306
1670597259745, 0, 961306
1670597260745, 0, 961306
1670597261746, 0, 961306
1670597262746, 0, 961306
1670597263746, 0, 961306
1670597264746, 0, 961306
1670597265746, 0, 961306
1670597266747, 0, 961306
1670597267747, 0, 961306
1670597268747, 0, 961306
1670597269747, 0, 961306
1670597270748, 0, 961306
1670597271748, 0, 961306
1670597272748, 0, 961306
1670597273748, 0, 961306
1670597274748, 0, 961306
1670597275749, 0, 961306
1670597276749, 0, 961306
1670597277749, 0, 961306
1670597278749, 0, 961306
1670597279749, 0, 961306
1670597280749, 0, 961306
1670597281750, 0, 961306
1670597282750, 0, 961306
1670597283750, 0, 961306
1670597284750, 0, 961306
1670597285750, 0, 961306
1670597286751, 0, 961306
1670597287751, 0, 961306
1670597288751, 0, 961306
1670597289751, 0, 961306
1670597290751, 0, 961306
1670597291752, 0, 961306
1670597292752, 0, 961306
1670597293752, 0, 961306
1670597294752, 0, 961306
1670597295752, 0, 961306
1670597296753, 0, 961306
1670597297753, 0, 961306
1670597298753, 0, 961306
1670597299753, 0, 961306
1670597300753, 0, 961306
1670597301754, 0, 961306
1670597302754, 0, 961306
1670597303754, 0, 961306
1670597304754, 0, 961306
1670597305754, 0, 961306
1670597306755, 0, 961306
1670597307755, 0, 961306
1670597308755, 0, 961306
1670597309755, 0, 961306
1670597310755, 0, 961306
1670597311756, 0, 961306
1670597312756, 0, 961306
1670597313756, 0, 961306
1670597314756, 0, 961306
1670597315756, 0, 961306
1670597316757, 0, 961306
1670597317757, 0, 961306
1670597318757, 0, 961306
1670597319757, 0, 961306
1670597320757, 0, 961306
1670597321758, 0, 961306
1670597322758, 0, 961306
1670597323758, 0, 961306
1670597324758, 0, 961306
1670597325758, 0, 961306
1670597326759, 0, 961306
1670597327759, 0, 961306
1670597328759, 0, 961306
1670597329759, 0, 961306
1670597330759, 0, 961306
1670597331760, 0, 961306
1670597332760, 0, 961306
1670597333760, 0, 961306
1670597334760, 0, 961306
1670597335760, 0, 961306
1670597336760, 0, 961306
1670597337761, 0, 961306
1670597338761, 0, 961306
1670597339761, 0, 961306
1670597340761, 0, 961306
1670597341761, 0, 961306
1670597342762, 0, 961306
1670597343762, 0, 961306
1670597344762, 0, 961306
1670597345762, 0, 961306
1670597346762, 0, 961306
1670597347763, 0, 961306
1670597348763, 0, 961306
1670597349763, 0, 961306
1670597350763, 0, 961306
1670597351763, 0, 961306
1670597352764, 0, 961306
1670597353764, 0, 961306
1670597354764, 0, 961306
1670597355764, 0, 961306
1670597356764, 0, 961306
1670597357765, 0, 961306
1670597358765, 0, 961306
1670597359765, 0, 961306
1670597360765, 0, 961306
1670597361765, 0, 961306
1670597362766, 0, 961306
1670597363766, 0, 961306
1670597364766, 0, 961306
1670597365766, 0, 961306
1670597366766, 0, 961306
1670597367767, 0, 961306
1670597368767, 0, 961306
1670597369767, 0, 961306
1670597370767, 0, 961306
1670597371767, 0, 961306
1670597372768, 0, 961306
1670597373768, 0, 961306
1670597374768, 0, 961306
1670597375768, 0, 961306
1670597376768, 0, 961306
1670597377769, 0, 961306
1670597378769, 0, 961306
1670597379769, 0, 961306
1670597380769, 0, 961306
1670597381769, 0, 961306
1670597382770, 0, 961306
1670597383770, 0, 961306
1670597384770, 0, 961306
1670597385770, 0, 961306
1670597386770, 0, 961306
1670597387770, 0, 961306
1670597388771, 0, 961306
1670597389771, 0, 961306
1670597390771, 0, 961306
1670597391771, 0, 961306
1670597392771, 0, 961306
1670597393772, 0, 961306
1670597394772, 0, 961306
1670597395772, 0, 961306
1670597396772, 0, 961306
1670597397772, 0, 961306
1670597398773, 0, 961306
1670597399773, 0, 961306
1670597400773, 0, 961306
1670597401773, 0, 961306
1670597402773, 0, 961306
1670597403773, 0, 961306
1670597404774, 0, 961306
1670597405774, 0, 961306
1670597406774, 0, 961306
1670597407774, 0, 961306
1670597408774, 0, 961306
1670597409775, 0, 961306
1670597410775, 0, 961306
1670597411775, 0, 961306
1670597412775, 0, 961306
1670597413775, 0, 961306
1670597414776, 0, 961306
1670597415776, 0, 961306
1670597416776, 0, 961306
1670597417776, 0, 961306
1670597418776, 0, 961306
1670597419777, 0, 961306
1670597420777, 0, 961306
1670597421777, 0, 961306
1670597422777, 0, 961306
1670597423777, 0, 961306
1670597424777, 0, 961306
1670597425778, 0, 961306
1670597426778, 0, 961306
1670597427778, 0, 961306
1670597428778, 0, 961306
1670597429778, 0, 961306
1670597430779, 0, 961306
1670597431779, 0, 961306
1670597432779, 0, 961306
1670597433779, 0, 961306
1670597434779, 0, 961306
1670597435780, 0, 961306
1670597436780, 0, 961306
1670597437780, 0, 961306
1670597438780, 0, 961306
1670597439780, 0, 961306
1670597440781, 0, 961306
1670597441781, 0, 961306
1670597442781, 0, 961306
1670597443781, 0, 961306
1670597444781, 0, 961306
1670597445781, 0, 961306
1670597446782, 0, 961306
1670597447782, 0, 961306
1670597448782, 0, 961306
1670597449782, 0, 961306
1670597450782, 0, 961306
1670597451783, 0, 961306
1670597452783, 0, 961306
1670597453783, 0, 961306
1670597454783, 0, 961306
1670597455783, 0, 961306
1670597456784, 0, 961306
1670597457784, 0, 961306
1670597458784, 0, 961306
1670597459784, 0, 961306
1670597460784, 0, 961306
1670597461785, 0, 961306
1670597462785, 0, 961306
1670597463785, 0, 961306
1670597464785, 0, 961306
1670597465785, 0, 961306
1670597466785, 0, 961306
1670597467786, 0, 961306
1670597468786, 0, 961306
1670597469786, 0, 961306
1670597470786, 0, 961306
1670597471786, 0, 961306
1670597472787, 0, 961306
1670597473787, 0, 961306
1670597474787, 0, 961306
1670597475787, 0, 961306
1670597476787, 0, 961306
1670597477788, 0, 961306
1670597478788, 0, 961306
1670597479788, 0, 961306
1670597480788, 0, 961306
1670597481788, 0, 961306
1670597482789, 0, 961306
1670597483789, 0, 961306
1670597484789, 0, 961306
1670597485789, 0, 961306
1670597486789, 0, 961306
1670597487790, 0, 961306
1670597488790, 0, 961306
1670597489790, 0, 961306
1670597490790, 0, 961306
1670597491790, 0, 961306
1670597492790, 0, 961306
1670597493791, 0, 961306
1670597494791, 0, 961306
1670597495791, 0, 961306
1670597496791, 0, 961306
1670597497791, 0, 961306
1670597498792, 0, 961306
1670597499792, 0, 961306
1670597500792, 0, 961306
1670597501792, 0, 961306
1670597502792, 0, 961306
1670597503793, 0, 961306
1670597504793, 0, 961306
1670597505793, 0, 961306
1670597506793, 0, 961306
1670597507793, 0, 961306
1670597508793, 0, 961306
1670597509794, 0, 961306
1670597510794, 0, 961306
1670597511794, 0, 961306
1670597512794, 0, 961306
1670597513794, 0, 961306
1670597514795, 0, 961306
1670597515795, 0, 961306
1670597516795, 0, 961306
1670597517795, 0, 961306
1670597518795, 0, 961306
1670597519796, 0, 961306
1670597520796, 0, 961306
1670597521796, 0, 961306
1670597522796, 0, 961306
1670597523796, 0, 961306
1670597524797, 0, 961306
1670597525797, 0, 961306
1670597526797, 0, 961306
1670597527797, 0, 961306
1670597528797, 0, 961306
1670597529797, 0, 961306
1670597530798, 0, 961306
1670597531798, 0, 961306
1670597532798, 0, 961306
1670597533798, 0, 961306
1670597534798, 0, 961306
1670597535799, 0, 961306
1670597536799, 0, 961306
1670597537799, 0, 961306
1670597538799, 0, 961306
1670597539799, 0, 961306
1670597540800, 0, 961306
1670597541800, 0, 961306
1670597542800, 0, 961306
1670597543800, 0, 961306
1670597544800, 0, 961306
1670597545801, 0, 961306
1670597546801, 0, 961306
1670597547801, 0, 961306
1670597548801, 0, 961306
1670597549801, 0, 961306
1670597550801, 0, 961306
1670597551802, 0, 961306
1670597552802, 0, 961306
1670597553802, 0, 961306
1670597554802, 0, 961306
