20:41:57,389 INFO  [main] Client:126 - thinkingTime [50], writePercentage [100], trackerNumber [1000]
20:41:57,403 INFO  [main] Client:224 - Start performance testing with [32] threads, experimentTimeSeconds [30], commandSize [1024] bytes)
20:41:57,415 INFO  [ClientStatsWriter] Client:203 - Commands sent 0, Response received 0, Total Commands 0, Total Responses 0, Avg latency (ms) 0.00, Lantencies size 0,
20:41:58,419 INFO  [ClientStatsWriter] Client:203 - Commands sent 838, Response received 834, Total Commands 838, Total Responses 834, Avg latency (ms) 0.00, Lantencies size 0,
20:41:59,422 INFO  [ClientStatsWriter] Client:203 - Commands sent 979, Response received 979, Total Commands 1817, Total Responses 1813, Avg latency (ms) 2.31, Lantencies size 1,
20:42:00,424 INFO  [ClientStatsWriter] Client:203 - Commands sent 1009, Response received 1011, Total Commands 2826, Total Responses 2824, Avg latency (ms) 2.52, Lantencies size 1,
20:42:01,425 INFO  [ClientStatsWriter] Client:203 - Commands sent 994, Response received 995, Total Commands 3820, Total Responses 3819, Avg latency (ms) 2.32, Lantencies size 1,
20:42:02,431 INFO  [ClientStatsWriter] Client:203 - Commands sent 977, Response received 976, Total Commands 4797, Total Responses 4795, Avg latency (ms) 4.60, Lantencies size 1,
20:42:03,433 INFO  [ClientStatsWriter] Client:203 - Commands sent 980, Response received 980, Total Commands 5777, Total Responses 5775, Avg latency (ms) 2.47, Lantencies size 1,
20:42:04,437 INFO  [ClientStatsWriter] Client:203 - Commands sent 998, Response received 999, Total Commands 6775, Total Responses 6774, Avg latency (ms) 1.93, Lantencies size 1,
20:42:05,441 INFO  [ClientStatsWriter] Client:203 - Commands sent 984, Response received 985, Total Commands 7759, Total Responses 7759, Avg latency (ms) 4.30, Lantencies size 1,
20:42:06,442 INFO  [ClientStatsWriter] Client:203 - Commands sent 989, Response received 985, Total Commands 8748, Total Responses 8744, Avg latency (ms) 2.72, Lantencies size 1,
20:42:07,443 INFO  [ClientStatsWriter] Client:203 - Commands sent 1009, Response received 1013, Total Commands 9757, Total Responses 9757, Avg latency (ms) 2.29, Lantencies size 1,
20:42:08,444 INFO  [ClientStatsWriter] Client:203 - Commands sent 1002, Response received 999, Total Commands 10759, Total Responses 10756, Avg latency (ms) 2.84, Lantencies size 1,
20:42:09,446 INFO  [ClientStatsWriter] Client:203 - Commands sent 988, Response received 988, Total Commands 11747, Total Responses 11744, Avg latency (ms) 4.24, Lantencies size 1,
20:42:10,447 INFO  [ClientStatsWriter] Client:203 - Commands sent 1008, Response received 1009, Total Commands 12755, Total Responses 12753, Avg latency (ms) 2.72, Lantencies size 1,
20:42:11,453 INFO  [ClientStatsWriter] Client:203 - Commands sent 1005, Response received 1006, Total Commands 13760, Total Responses 13759, Avg latency (ms) 3.81, Lantencies size 1,
20:42:12,455 INFO  [ClientStatsWriter] Client:203 - Commands sent 998, Response received 995, Total Commands 14758, Total Responses 14754, Avg latency (ms) 2.87, Lantencies size 1,
20:42:13,457 INFO  [ClientStatsWriter] Client:203 - Commands sent 1006, Response received 1010, Total Commands 15764, Total Responses 15764, Avg latency (ms) 2.81, Lantencies size 1,
20:42:14,458 INFO  [ClientStatsWriter] Client:203 - Commands sent 1007, Response received 1007, Total Commands 16771, Total Responses 16771, Avg latency (ms) 2.97, Lantencies size 1,
20:42:15,459 INFO  [ClientStatsWriter] Client:203 - Commands sent 1009, Response received 1009, Total Commands 17780, Total Responses 17780, Avg latency (ms) 1.62, Lantencies size 1,
20:42:16,460 INFO  [ClientStatsWriter] Client:203 - Commands sent 1010, Response received 1008, Total Commands 18790, Total Responses 18788, Avg latency (ms) 1.83, Lantencies size 1,
