11:53:31,523 INFO  [main] RawABListener:48 - Initing a RawABListener...
11:53:31,531 INFO  [main] Node:101 - PID: 4749
11:53:31,707 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
11:53:31,712 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
11:53:31,713 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
11:53:31,728 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
11:53:31,728 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
11:53:31,729 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
11:53:31,739 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: enabled
11:53:31,741 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
11:53:31,751 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 13] (succsessor: 2 at /10.10.1.3:2071)
11:53:31,756 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 13, 14, 15] (succsessor: 14 at /10.10.1.5:2090)
11:53:31,760 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14, 15] (succsessor: 14 at /10.10.1.5:2090)
11:53:31,796 INFO  [main] Replica:162 - Token [0], ringId [null], nodeId [13], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [true], useDiskDb [true] with simple constructor
1669229611797, 0, 0
1669229612797, 0, 0
1669229613797, 0, 0
1669229614798, 0, 0
1669229615798, 0, 0
1669229616799, 0, 0
1669229617799, 0, 0
1669229618799, 0, 0
1669229619800, 0, 0
1669229620800, 0, 0
1669229621801, 0, 0
1669229622801, 0, 0
1669229623801, 130, 130
1669229624802, 234, 364
1669229625802, 249, 613
1669229626802, 253, 866
1669229627803, 260, 1126
1669229628803, 249, 1375
1669229629803, 255, 1630
1669229630804, 250, 1880
1669229631804, 254, 2134
1669229632804, 264, 2398
1669229633805, 243, 2641
1669229634805, 246, 2887
1669229635805, 247, 3134
1669229636806, 242, 3376
1669229637806, 244, 3620
1669229638807, 250, 3870
1669229639807, 130, 4000
1669229640807, 0, 4000
1669229641807, 0, 4000
1669229642808, 0, 4000
1669229643808, 0, 4000
11:54:03,986 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/acceptors
